n,nruns,retries,neighbors,nwins,pwins,start,ave,end,steps
8.0,1000.0,100.0,32.0,853.0,0.853,10.215,0.8234265922522297,28.331624640450315,11.83
8.0,1000.0,100.0,100.0,831.0,0.831,10.262,0.8048006723196586,71.16190498466635,13.029
8.0,1000.0,320.0,2.0,665.0,0.665,10.139,1.3515541999676552,4.8988839134344575,63.5215
8.0,1000.0,320.0,8.0,828.0,0.828,10.063,0.9467687828326234,10.418046870801534,35.3635
8.0,1000.0,320.0,32.0,837.0,0.837,10.217,0.8312104412855839,28.396350922132978,32.588
8.0,1000.0,320.0,100.0,863.0,0.863,10.158,0.7810721288786023,69.94645723063346,28.8945
9.0,1000.0,1.0,2.0,84.0,0.084,11.737,1.622,5.479,1.0
9.0,1000.0,1.0,8.0,139.0,0.139,11.669,1.235,11.913,1.0
9.0,1000.0,1.0,32.0,178.0,0.178,11.749,1.06,33.253,1.0
9.0,1000.0,1.0,100.0,167.0,0.167,11.848,1.023,84.964,1.0
9.0,1000.0,10.0,2.0,372.0,0.372,11.612,1.4734146825396828,5.5259785714285705,4.419
9.0,1000.0,10.0,8.0,586.0,0.586,11.508,1.0244932539682539,11.224182142857144,3.73
9.0,1000.0,10.0,32.0,606.0,0.606,11.785,0.9080277777777774,30.11827857142857,3.629
9.0,1000.0,10.0,100.0,620.0,0.62,11.753,0.8599154761904763,72.37731944444444,3.5425
9.0,1000.0,100.0,2.0,651.0,0.651,11.559,1.4807104202878087,5.442272667982613,23.942
9.0,1000.0,100.0,8.0,863.0,0.863,11.817,1.0279497224124123,11.198546153456412,13.074
9.0,1000.0,100.0,32.0,889.0,0.889,11.781,0.8825976629090795,29.484215741812708,10.946
9.0,1000.0,100.0,100.0,924.0,0.924,11.74,0.8363819881057862,71.82212832786061,9.193
9.0,1000.0,320.0,2.0,729.0,0.729,11.706,1.461027060692841,5.525273822946085,55.562
9.0,1000.0,320.0,8.0,918.0,0.918,11.645,1.0074858317558837,11.131594713848227,21.873
9.0,1000.0,320.0,32.0,910.0,0.91,11.775,0.8686694609103379,29.27021468960974,22.6865
9.0,1000.0,320.0,100.0,922.0,0.922,11.811,0.8466602373152954,71.09489747981382,20.2525
